,movie_title,release_date,genre,MPAA_rating,director,year,month,day,animated,revenue
171,The Hitchhiker's Guide to the Galaxy,4/29/2005,Comedy,PG,Garth Jennings,2005,4,29,YES,"$67,096,891 "
172,Bedknobs and Broomsticks,10/7/2071,Musical,G,Robert Stevenson,1971,10,7,NO,"$91,305,448 "
173,Pooh's Heffalump Movie,2/11/2005,Adventure,G,Frank Nissen,2005,2,11,NO,"$23,801,835 "
174,Open Range,8/15/2003,Western,R,Kevin Costner,2003,8,15,NO,"$81,547,672 "
175,D.O.A.,3/18/1988,Thriller/Suspense,R,Annabel Jankel,1988,3,18,NO,"$26,062,188 "
176,Meet the Deedles,3/27/1998,Comedy,PG,Steve Boyum,1998,3,27,NO,"$7,829,877 "
177,A Beautiful Planet,4/29/2016,Documentary,G,Toni Myers,2016,4,29,NO,"$7,895,708 "
178,Sister Act,5/29/1992,Comedy,PG,Emile Ardolino,1992,5,29,NO,"$283,583,472 "
179,Strange Magic,1/23/2015,Adventure,PG,Gary Rydstrom,2015,1,23,YES,"$12,429,583 "
180,The Many Adventures of Winnie the Pooh,3/11/1977,Animation,G,Wolfgang Reitherman,1977,3,11,NO,$0 
181,Quiz Show,9/14/1994,Drama,PG-13,Robert Redford,1994,9,14,NO,"$50,840,394 "
182,While You Were Sleeping,4/21/1995,Romantic Comedy,PG,Jon Turteltaub,1995,4,21,NO,"$157,082,900 "
183,Bedtime Stories,12/25/2008,Comedy,PG,Adam Shankman,2008,12,25,NO,"$128,039,679 "
184,"The Chronicles of Narnia: The Lion, t…",12/9/2005,Adventure,PG,Andrew Adamson,2005,12,9,NO,"$381,557,539 "
185,Instinct,6/4/1999,Drama,R,NO_DIRECTOR,1999,6,4,NO,"$56,595,842 "
186,Step Up,8/11/2006,Drama,PG-13,Anne Fletcher,2006,8,11,NO,"$84,078,780 "
187,G.I. Jane,8/22/1997,Drama,R,Ridley Scott,1997,8,22,NO,"$88,467,531 "
188,Oscar,4/26/1991,Comedy,PG,John Landis,1991,4,26,NO,"$47,181,395 "
189,The Parent Trap,7/29/1998,Comedy,PG,Nancy Meyers,1998,7,29,NO,"$119,185,667 "
190,Primeval,1/12/2007,Adventure,R,NO_DIRECTOR,2007,1,12,NO,"$12,985,302 "
191,The Lone Ranger,7/2/2013,Western,PG-13,Gore Verbinski,2013,7,2,YES,"$92,597,388 "
192,"Monsters, Inc.",11/2/2001,Adventure,G,Pete Docter,2001,11,2,NO,"$416,073,179 "
193,Reign of Fire,2/19/2002,Action,PG-13,Rob Bowman,2002,2,19,NO,"$62,480,631 "
194,Running Brave,11/4/1983,Drama,PG,Donald Shebib,1983,11,4,NO,"$3,223,725 "
195,Dinosaur,5/19/2000,Adventure,PG,Ralph Zondag,2000,5,19,NO,"$215,438,985 "
196,Rushmore,12/11/1998,Black Comedy,R,Wes Anderson,1998,12,11,NO,"$28,392,518 "
197,Freaky Friday,1/21/1977,Comedy,UNKNOWN,NO_DIRECTOR,1977,1,21,NO,"$98,067,733 "
198,The 13th Warrior,8/27/1999,Action,R,John McTiernan,1999,8,27,NO,"$54,262,148 "
199,Brave,6/22/2012,Adventure,PG,Brenda Chapman,2012,6,22,YES,"$251,292,441 "
200,Eight Below,2/17/2006,Adventure,PG,Frank Marshall,2006,2,17,YES,"$105,037,235 "
201,Gake no ue no Ponyo,8/14/2009,Adventure,G,Hayao Miyazaki,2009,8,14,NO,"$16,961,607 "
202,Queen of Katwe,9/23/2016,Drama,PG,Mira Nair,2016,9,23,YES,"$8,874,389 "
203,Straight Talk,4/3/1992,Comedy,PG,Barnet Kellman,1992,4,3,YES,"$43,068,356 "
204,Holy Man,10/9/1998,Comedy,PG,Stephen Herek,1998,10,9,NO,"$21,694,605 "
205,The Sorcerer's Apprentice,7/14/2010,Adventure,PG,Jon Turteltaub,2010,7,14,NO,"$67,473,105 "
206,Stella,2/2/1990,Drama,PG-13,NO_DIRECTOR,1990,2,2,NO,"$40,077,147 "
207,An American Werewolf in Paris,12/25/1997,Horror,R,Anthony Waller,1997,12,25,NO,"$48,546,161 "
208,The Mighty Ducks,10/2/1992,Comedy,PG,Stephen Herek,1992,10,2,YES,"$103,120,810 "
209,Tall Tale,3/24/1995,Western,PG,Jeremiah S. Chechik,1995,3,24,YES,"$15,983,331 "
210,Tangled,11/24/2010,Adventure,PG,Nathan Greno,2010,11,24,YES,"$214,388,548 "
211,Ed Wood,9/30/1994,Comedy,R,Tim Burton,1994,9,30,NO,"$12,042,634 "
212,The Jerky Boys,2/3/1995,Comedy,R,James Melkonian,1995,2,3,NO,"$14,641,561 "
213,The Rich Man's Wife,9/13/1996,Thriller/Suspense,R,Amy Holden Jones,1996,9,13,NO,"$16,284,619 "
214,"20,000 Leagues Under the Sea",12/23/2054,Adventure,G,Richard Fleischer,1954,12,23,NO,"$528,279,994 "
215,Super Mario Bros.,5/28/1993,Action,PG,Annabel Jankel,1993,5,28,NO,"$42,445,058 "
216,The Proposal,6/19/2009,Romantic Comedy,PG-13,Anne Fletcher,2009,6,19,NO,"$184,288,829 "
217,Race to Witch Mountain,3/13/2009,Adventure,PG,Andy Fickman,2009,3,13,YES,"$75,501,997 "
218,The Adventures of Huck Finn,4/2/1993,Adventure,PG,Stephen Sommers,1993,4,2,NO,"$49,080,505 "
219,Jefferson in Paris,3/31/1995,Drama,PG-13,James Ivory,1995,3,31,NO,"$4,770,461 "
220,The Jungle Book,4/15/2016,Adventure,PG,Wolfgang Reitherman,2016,4,15,NO,"$364,001,123 "
221,Sky High,7/29/2005,Adventure,PG,Mike Mitchell,2005,7,29,NO,"$84,088,854 "
222,Toy Story 2,11/19/1999,Adventure,G,John Lasseter,1999,11,19,NO,"$404,450,426 "
223,The Rescuers,6/22/1977,Adventure,UNKNOWN,Wolfgang Reitherman,1977,6,22,YES,"$159,743,914 "
224,Remember the Titans,9/29/2000,Drama,PG,Boaz Yakin,2000,9,29,NO,"$180,742,479 "
225,A Lot Like Love,4/22/2005,Comedy,PG-13,Nigel Cole,2005,4,22,NO,"$28,716,947 "
226,3 Ninjas,8/7/1992,Action,PG,Jon Turteltaub,1992,8,7,NO,"$58,965,304 "
227,Flight of the Navigator,7/30/1986,Adventure,PG,Randal Kleiser,1986,7,30,NO,"$42,183,197 "
