movie_title,release_date,genre,MPAA_rating,directors,revenue
"The Chronicles of Narnia: The Lion, t…",9-Dec-05,Adventure,PG,Andrew Adamson,"$381,557,539 "
Instinct,4-Jun-99,Drama,R,Paul Verhoeven,"$56,595,842 "
Step Up,11-Aug-06,Drama,PG-13,Anne Fletcher,"$84,078,780 "
G.I. Jane,22-Aug-97,Drama,R,Ridley Scott,"$88,467,531 "
Oscar,26-Apr-91,Comedy,PG,Éric-Emmanuel Schmitt,"$47,181,395 "
The Parent Trap,29-Jul-98,Comedy,PG,Nancy Meyers,"$119,185,667 "
Primeval,12-Jan-07,Adventure,R,Michael Katleman,"$12,985,302 "
The Lone Ranger,2-Jul-13,Western,PG-13,Gore Verbinski,"$92,597,388 "
"Monsters, Inc.",2-Nov-01,Adventure,G,Pete Docter,"$416,073,179 "
Reign of Fire,19-Feb-02,Action,PG-13,Rob Bowman,"$62,480,631 "
Running Brave,4-Nov-83,Drama,PG,Donald Shebib,"$3,223,725 "
Dinosaur,19-May-00,Adventure,PG,Ralph Zondag,"$215,438,985 "
Rushmore,11-Dec-98,Black Comedy,R,Wes Anderson,"$28,392,518 "
Freaky Friday,21-Jan-77,Comedy,PG,Mark Waters,"$98,067,733 "
The 13th Warrior,27-Aug-99,Action,R,John McTiernan,"$54,262,148 "
Brave,22-Jun-12,Adventure,PG,Brenda Chapman,"$251,292,441 "
Eight Below,17-Feb-06,Adventure,PG,Frank Marshall,"$105,037,235 "
Gake no ue no Ponyo,14-Aug-09,Adventure,G,Hayao Miyazaki,"$16,961,607 "
Queen of Katwe,23-Sep-16,Drama,PG,Mira Nair,"$8,874,389 "
Straight Talk,3-Apr-92,Comedy,PG,Barnet Kellman,"$43,068,356 "
Holy Man,9-Oct-98,Comedy,PG,Stephen Herek,"$21,694,605 "
The Sorcerer's Apprentice,14-Jul-10,Adventure,PG,Jon Turteltaub,"$67,473,105 "
Stella,2-Feb-90,Drama,PG-13,Thomas Sieben,"$40,077,147 "
An American Werewolf in Paris,25-Dec-97,Horror,R,Anthony Waller,"$48,546,161 "
The Mighty Ducks,2-Oct-92,Comedy,PG,Stephen Herek,"$103,120,810 "
Tall Tale,24-Mar-95,Western,PG,Jeremiah S. Chechik,"$15,983,331 "
Tangled,24-Nov-10,Adventure,PG,Nathan Greno,"$214,388,548 "
Ed Wood,30-Sep-94,Comedy,R,Tim Burton,"$12,042,634 "
The Jerky Boys,3-Feb-95,Comedy,R,James Melkonian,"$14,641,561 "
The Rich Man's Wife,13-Sep-96,Thriller/Suspense,R,Amy Holden Jones,"$16,284,619 "
"20,000 Leagues Under the Sea",23-Dec-54,Adventure,G,Richard Fleischer,"$528,279,994 "
Super Mario Bros.,28-May-93,Action,PG,Annabel Jankel,"$42,445,058 "
The Proposal,19-Jun-09,Romantic Comedy,PG-13,Anne Fletcher,"$184,288,829 "
Race to Witch Mountain,13-Mar-09,Adventure,PG,Andy Fickman,"$75,501,997 "
The Adventures of Huck Finn,2-Apr-93,Adventure,PG,Stephen Sommers,"$49,080,505 "
Jefferson in Paris,31-Mar-95,Drama,PG-13,James Ivory,"$4,770,461 "
The Jungle Book,15-Apr-16,Adventure,PG,Wolfgang Reitherman,"$364,001,123 "
Sky High,29-Jul-05,Adventure,PG,Mike Mitchell,"$84,088,854 "
Toy Story 2,19-Nov-99,Adventure,G,John Lasseter,"$404,450,426 "
The Rescuers,22-Jun-77,Adventure,G,Wolfgang Reitherman,"$159,743,914 "
